utc	lux	lux_last_changed	lamp	brightness
2026-09-08T15:23:40Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:24:10Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:24:40Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:25:10Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:25:40Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:26:10Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:26:40Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:27:10Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:27:40Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:28:10Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:28:40Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:29:10Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:29:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:30:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:30:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:31:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:31:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:32:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:32:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:33:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:33:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:34:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:34:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:35:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:35:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:36:11Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:36:41Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:37:12Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:37:42Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:38:12Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:38:42Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:39:12Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:39:42Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
2026-09-08T15:40:12Z	145.0	2026-09-08T15:22:20.453463+00:00	on	255
