numeric samples: 204  non-numeric (unavailable/unknown): 1
samples inside 0-600 control band: 46
in-band consecutive gaps: n=45 min=94 median=1948 mean=3834 max=39826

hour(UTC)  all  inband  minlux  maxlux
09-07 12      1       1     303     303
09-07 13      1       1     235     235
09-07 14      4       4     206     459
09-07 15      1       1      37      37
09-07 16      1       1      50      50
09-07 17      1       1      27      27
09-07 18      1       1       0       0
09-08 05      1       1     124     124
09-08 06      1       1     200     200
09-08 07      1       1     251     251
09-08 08      1       1     488     488
09-08 09      4       2     456     923
09-08 10      1       0     732     732
09-08 11      1       1     557     557
09-08 12      1       1     522     522
09-08 13      3       3     162     396
09-08 14      1       1     145     145
09-08 15      1       1     218     218
09-08 16      1       1      66      66
09-08 17      1       1       0       0
09-09 01      1       1       0       0
09-09 05      1       1     228     228
09-09 06      3       3     272     560
09-09 07      7       1     486    1343
09-09 08     33       1     538    2289
09-09 09     19       2     181    2243
09-09 10     32       2     427    2839
09-09 11     76       6     155    2503
09-09 12      4       4     177     442
