config	mode	utc	local	action	rule	az	el	pv15	pv45	wind	gust	bezet
DRAFT	A	2026-09-12T00:00:00+02:00	2026-09-12 00:00	open	R1 wind	331	-30.1	-1	-1	-1	0	False
DRAFT	A	2026-09-12T10:30:00+02:00	2026-09-12 10:30	closed	R4 close	124	28.4	1851	1628	14.832	0	False
DRAFT	A	2026-09-12T17:25:00+02:00	2026-09-12 17:25	open	R6 edge	245	23.2	288	533	25.92	0	False
DRAFT	A	2026-09-13T13:55:00+02:00	2026-09-13 13:55	closed	R4 close	186	41.7	1955	1262	7.416	0	False
DRAFT	A	2026-09-13T17:30:00+02:00	2026-09-13 17:30	open	R6 edge	246	22.1	233	420	12.96	0	False
DRAFT	A	2026-09-14T13:20:00+02:00	2026-09-14 13:20	closed	R4 close	174	41.3	1895	1485	11.124	0	True
DRAFT	A	2026-09-14T17:05:00+02:00	2026-09-14 17:05	open	R5 dull+occupied	240	25.2	455	641	16.668	0	True
DRAFT	A	2026-09-15T10:35:00+02:00	2026-09-15 10:35	closed	R4 close	126	28.2	1849	1520	14.832	0	True
DRAFT	A	2026-09-15T16:40:00+02:00	2026-09-15 16:40	open	R5 dull+occupied	234	28.0	846	618	18.504	0	True
DRAFT	A	2026-09-16T11:00:00+02:00	2026-09-16 11:00	closed	R4 close	133	30.9	2160	1213	9.252	0	True
DRAFT	A	2026-09-16T11:50:00+02:00	2026-09-16 11:50	open	R5 dull+occupied	146	35.9	1038	661	16.668	0	True
DRAFT	A	2026-09-16T13:00:00+02:00	2026-09-16 13:00	closed	R4 close	168	40.1	2306	1215	18.504	0	True
DRAFT	A	2026-09-16T14:50:00+02:00	2026-09-16 14:50	open	R5 dull+occupied	204	38.3	371	691	14.832	0	True
DRAFT	A	2026-09-18T10:25:00+02:00	2026-09-18 10:25	closed	R4 close	124	26.1	1879	1583	14.832	0	False
DRAFT	A	2026-09-18T17:30:00+02:00	2026-09-18 17:30	open	R6 edge	245	20.3	1426	1455	9.648	20.916	False
DRAFT	A	2026-09-20T12:05:00+02:00	2026-09-20 12:05	closed	R4 close	152	35.7	1884	1203	22.212	0	False
DRAFT	A	2026-09-20T17:35:00+02:00	2026-09-20 17:35	open	R6 edge	246	18.8	672	862	11.268	25.74	False
DRAFT	A	2026-09-21T10:45:00+02:00	2026-09-21 10:45	closed	R4 close	130	27.6	1948	1719	11.124	0	True
DRAFT	A	2026-09-21T17:35:00+02:00	2026-09-21 17:35	open	R6 edge	246	18.4	1629	1845	11.124	0	True
DRAFT	A	2026-09-22T23:50:00+02:00	2026-09-22 23:50	open	R1 wind	328	-33.6	0	0	0.0	0	False
DRAFT	B	2026-09-12T00:00:00+02:00	2026-09-12 00:00	open	R1 wind	331	-30.1	-1	-1	-1	0	False
DRAFT	B	2026-09-12T10:30:00+02:00	2026-09-12 10:30	closed	R4 close	124	28.4	1851	1628	14.832	0	False
DRAFT	B	2026-09-12T17:25:00+02:00	2026-09-12 17:25	open	R6 edge	245	23.2	288	533	25.92	0	False
